,title,details,content
0,Queen Elizabeth Updates: Charles To Be Proclaimed King Today,"Edited by NDTV News Desk  | Saturday September 10, 2022","Britain's Charles III will officially be proclaimed king in a ceremony on Saturday, a day after he vowed in his first speech to mourning subjects that he would emulate his ""darling mama"", Queen Elizabeth II."
1,"Australia vs New Zealand: Marcus Stoinis, David Warner Out Of 3rd ODI","Agence France-Presse   | Saturday September 10, 2022","Injured all-rounder Marcus Stoinis was Saturday ruled out of Australia's final one-day international against New Zealand, while David Warner was released from the squad to rest."
2,"""Will Be Five Kilos Less"": On Virat Kohli's Ton, Ex-India Coach Ravi Shastri's Out Of The Box Take","NDTV Sports Desk   | Saturday September 10, 2022","After Virat Kohli's ton on Thursday, former India coach Ravi Shastri was asked about Kohli reaching the triple-figure mark after 1020 days, and he gave his insight on it."
3,"""Maharani Elizabeth ko..."": British Envoy Mourns Queen's Death In Hindi","Edited by Supriti David  | Saturday September 10, 2022, New Delhi","British High Commissioner to India Alex Ellis mourned the death of Queen Elizabeth on Friday and as he spoke of her ""life dedicated to service"", he decided to begin doing so in Hindi."
4,How Shilpa Shetty Wished Birthday To Husband Raj Kundra,"Written by Jyothi Jha  | Saturday September 10, 2022, New Delhi","""I'm thankful that you're my bestest friend, the father of my children, my love, and my strength,"" wrote Shilpa Shetty"
5,Assam Chief Minister's Rahul Gandhi Cartoon Gets A Counter From 2010,"Reported by Sunil Prabhu, Edited by Shatabdi Chowdhury  | Saturday September 10, 2022, New Delhi","The Congress has dug up a 12-year-old tweet of Assam Chief Minister Himanta Biswa Sarma praising Rahul Gandhi, hours after he posted a parody video mocking him."
6,JEECUP 2022 Counselling: Round 1 Seat Allotment Result Today; Details Here,"Edited by Arnab Mitra  | Saturday September 10, 2022",JEECUP 2022 Counselling: The candidates can select the freeze/float option and appear for document verification from September 11 to 13. Download round 1 seat allotment list at jeecup.nic.in
7,"Queen Elizabeth To Remain On Canadian Currency ""For Years To Come""","By Stephen Wicary, Bloomberg   | Saturday September 10, 2022, Ottawa","Canada, a former British colony, has a new head of state. But the face of Queen Elizabeth II will continue to appear on its currency."
8,Deepening Tokyo Olympics Bribery Scandal Casts Shadow Over 2030 Bid,"Agence France-Presse   | Saturday September 10, 2022",A bribery scandal engulfing last summer's pandemic-delayed Tokyo Games has thrown a dark cloud over Sapporo's 2030 bid and raised fresh questions in Japan about hosting the Olympics again.
9,"India Logs 5,554 New COVID-19 Cases Today, Active Cases Decline To 48,850","Press Trust of India   | Saturday September 10, 2022, New Delhi","India logged 5,554 new coronavirus infections which raised the tally to 4,44,90,283 while the active cases further declined to 48,850, the Union Health Ministry said on Saturday."
10,"Charles To Be Proclaimed King Today After Vowing ""Lifelong Service""","Agence France-Presse   | Saturday September 10, 2022","Britain's Charles III will officially be proclaimed king in a ceremony on Saturday, a day after he vowed in his first speech to mourning subjects that he would emulate his ""darling mama"", Queen Elizabeth II."
11,"""T20 Cricket Needs To Explore..."": Ex-India Batter On Toss Playing Crucial Role in Asia Cup","NDTV Sports Desk   | Saturday September 10, 2022",Sanjay Manjrekar has now highlighted how toss played a big role in the Asia Cup. He also highlighted that India lost tosses in their three Super 4 games while Afghanistan lost two.
12,"World Suicide Prevention Day 2022: Theme, Significance, How To Identify If Someone Is Suicidal & What Can You Do","Manya Singh   | Saturday September 10, 2022",World Suicide Prevention Day 2022: WSPD is celebrated to help raise awareness towards suicide cases and help lower the rates of suicide.
13,CUET UG 2022 Answer Key: Last Date To Raise Objections Today At Cuet.samarth.ac.in,"Edited by Arnab Mitra  | Saturday September 10, 2022",CUET UG 2022 Answer Key: The CUET UG 2022 answer key objection window for all the six phases is available online till 11:50 PM today. Download answer key at cuet.samarth.ac.in
14,"""King Is Back, They're Saying. But..."": Chennai Super Kings' Tweet On Virat Kohli's Ton Goes Viral","NDTV Sports Desk   | Saturday September 10, 2022",Chennai Super Kings also paid a special tribute to Kohli after his 122* off 61 balls against Afghanistan with a twitter thread.
